,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label,SegmentID,Subject
72,-2582.0,-7578.0,-3530.0,-8960.0,2227.0,2146.0,1.updown,5,CW
73,-2383.0,-9716.0,-3624.0,-8337.0,2481.0,1495.0,1.updown,5,CW
74,-2362.0,-11271.0,-3447.0,-7475.0,2750.0,679.0,1.updown,5,CW
75,-2554.0,-12354.0,-2914.0,-6681.0,2936.0,44.0,1.updown,5,CW
76,-2816.0,-13373.0,-2385.0,-5997.0,2460.0,339.0,1.updown,5,CW
77,-2711.0,-14337.0,-2015.0,-5275.0,1447.0,1520.0,1.updown,5,CW
78,-2445.0,-15020.0,-1641.0,-4492.0,563.0,2606.0,1.updown,5,CW
79,-2379.0,-15575.0,-1493.0,-3476.0,-122.0,2751.0,1.updown,5,CW
80,-2323.0,-15961.0,-1641.0,-2031.0,-547.0,2125.0,1.updown,5,CW
81,-1938.0,-15598.0,-1589.0,-426.0,-461.0,1335.0,1.updown,5,CW
82,-1454.0,-14549.0,-1096.0,910.0,-43.0,283.0,1.updown,5,CW
83,-1179.0,-13192.0,-726.0,1962.0,101.0,-1046.0,1.updown,5,CW
84,-1054.0,-11900.0,-764.0,2993.0,-153.0,-2291.0,1.updown,5,CW
85,-959.0,-10777.0,-1011.0,3875.0,-330.0,-2999.0,1.updown,5,CW
86,-912.0,-9869.0,-1249.0,4459.0,-454.0,-3047.0,1.updown,5,CW
87,-886.0,-9016.0,-1410.0,4929.0,-642.0,-2760.0,1.updown,5,CW
88,-962.0,-8271.0,-1555.0,5258.0,-709.0,-2527.0,1.updown,5,CW
89,-1125.0,-7803.0,-1605.0,5520.0,-644.0,-2505.0,1.updown,5,CW
90,-1305.0,-7402.0,-1818.0,5906.0,-597.0,-2674.0,1.updown,5,CW
91,-1517.0,-7052.0,-2032.0,6313.0,-726.0,-2804.0,1.updown,5,CW
92,-1724.0,-6601.0,-2086.0,6682.0,-1030.0,-2763.0,1.updown,5,CW
93,-1721.0,-5853.0,-2049.0,6982.0,-1321.0,-2739.0,1.updown,5,CW
94,-1574.0,-4972.0,-1951.0,7116.0,-1443.0,-2958.0,1.updown,5,CW
95,-1432.0,-4137.0,-1822.0,7122.0,-1379.0,-3393.0,1.updown,5,CW
96,-1140.0,-3518.0,-1734.0,7099.0,-1218.0,-3951.0,1.updown,5,CW
97,-753.0,-2976.0,-1621.0,7079.0,-870.0,-4300.0,1.updown,5,CW
98,-627.0,-2307.0,-1396.0,6959.0,-632.0,-4133.0,1.updown,5,CW
99,-548.0,-1509.0,-1176.0,6615.0,-672.0,-3721.0,1.updown,5,CW
100,-540.0,-794.0,-973.0,6099.0,-743.0,-3391.0,1.updown,5,CW
101,-515.0,-208.0,-774.0,5620.0,-763.0,-3042.0,1.updown,5,CW
102,-412.0,386.0,-562.0,5212.0,-730.0,-2547.0,1.updown,5,CW
103,-300.0,976.0,-269.0,4778.0,-753.0,-1976.0,1.updown,5,CW
104,-247.0,1434.0,21.0,4304.0,-887.0,-1391.0,1.updown,5,CW
105,-279.0,1697.0,190.0,3920.0,-1082.0,-830.0,1.updown,5,CW
106,-197.0,1953.0,323.0,3677.0,-1211.0,-290.0,1.updown,5,CW
107,48.0,2255.0,467.0,3488.0,-1081.0,19.0,1.updown,5,CW
108,364.0,2445.0,610.0,3231.0,-687.0,-90.0,1.updown,5,CW
109,540.0,2646.0,695.0,2802.0,-285.0,-465.0,1.updown,5,CW
110,572.0,2801.0,773.0,2305.0,54.0,-846.0,1.updown,5,CW
111,623.0,2996.0,779.0,1784.0,346.0,-972.0,1.updown,5,CW
112,587.0,3133.0,774.0,1201.0,539.0,-729.0,1.updown,5,CW
113,523.0,3230.0,768.0,555.0,614.0,-360.0,1.updown,5,CW
114,511.0,3422.0,824.0,-138.0,679.0,66.0,1.updown,5,CW
115,560.0,3516.0,896.0,-907.0,798.0,456.0,1.updown,5,CW
116,606.0,3476.0,864.0,-1704.0,1003.0,712.0,1.updown,5,CW
117,489.0,3397.0,724.0,-2478.0,1137.0,911.0,1.updown,5,CW
118,296.0,3193.0,432.0,-3195.0,1019.0,1192.0,1.updown,5,CW
119,136.0,2989.0,202.0,-3779.0,869.0,1540.0,1.updown,5,CW
120,11.0,3048.0,171.0,-4291.0,781.0,1684.0,1.updown,5,CW
121,-39.0,3441.0,131.0,-4820.0,708.0,1514.0,1.updown,5,CW
122,-369.0,3692.0,101.0,-5501.0,692.0,1121.0,1.updown,5,CW
123,-1035.0,3489.0,-145.0,-6369.0,593.0,646.0,1.updown,5,CW
124,-1501.0,3044.0,-708.0,-7237.0,337.0,722.0,1.updown,5,CW
125,-1709.0,2455.0,-1237.0,-8109.0,86.0,1750.0,1.updown,5,CW
126,-2012.0,1371.0,-1752.0,-9081.0,-170.0,3217.0,1.updown,5,CW
127,-2229.0,-62.0,-2144.0,-10002.0,-395.0,4535.0,1.updown,5,CW
128,-2388.0,-1797.0,-2529.0,-10809.0,-506.0,5281.0,1.updown,5,CW
129,-2364.0,-4131.0,-3040.0,-11285.0,-464.0,5200.0,1.updown,5,CW
130,-2157.0,-6942.0,-3817.0,-11147.0,-372.0,4390.0,1.updown,5,CW
131,-1935.0,-10053.0,-4401.0,-10631.0,-361.0,3583.0,1.updown,5,CW
132,-1606.0,-12857.0,-4645.0,-9934.0,-339.0,3444.0,1.updown,5,CW
133,-1146.0,-15148.0,-4533.0,-9033.0,-26.0,3785.0,1.updown,5,CW
134,-1083.0,-16985.0,-4244.0,-7746.0,319.0,3949.0,1.updown,5,CW
135,-1458.0,-18235.0,-3974.0,-6124.0,452.0,3957.0,1.updown,5,CW
136,-2094.0,-18777.0,-3457.0,-4539.0,520.0,4208.0,1.updown,5,CW
137,-2590.0,-18565.0,-2931.0,-3191.0,402.0,4400.0,1.updown,5,CW
138,-2706.0,-17800.0,-2548.0,-1884.0,128.0,4174.0,1.updown,5,CW
139,-2607.0,-16734.0,-2174.0,-429.0,-64.0,3122.0,1.updown,5,CW
140,-2121.0,-15161.0,-1955.0,1122.0,-55.0,1169.0,1.updown,5,CW
141,-1622.0,-13344.0,-1950.0,2484.0,116.0,-842.0,1.updown,5,CW
142,-1408.0,-11785.0,-2038.0,3519.0,277.0,-2164.0,1.updown,5,CW
143,-1476.0,-10411.0,-2102.0,4225.0,275.0,-2752.0,1.updown,5,CW
144,-1633.0,-9151.0,-2198.0,4628.0,30.0,-2835.0,1.updown,5,CW
145,-1909.0,-8201.0,-2338.0,4824.0,-419.0,-2579.0,1.updown,5,CW
146,-2139.0,-7620.0,-2596.0,5020.0,-1066.0,-2218.0,1.updown,5,CW
147,-1947.0,-7065.0,-2807.0,5406.0,-1570.0,-1819.0,1.updown,5,CW
148,-1572.0,-6366.0,-2727.0,5827.0,-1721.0,-1775.0,1.updown,5,CW
149,-1457.0,-5605.0,-2572.0,6230.0,-1688.0,-2667.0,1.updown,5,CW
150,-1447.0,-4538.0,-2447.0,6742.0,-1461.0,-4101.0,1.updown,5,CW
151,-1411.0,-3341.0,-2239.0,7042.0,-1150.0,-5160.0,1.updown,5,CW
152,-1467.0,-2366.0,-1904.0,6931.0,-829.0,-5542.0,1.updown,5,CW
153,-1503.0,-1579.0,-1531.0,6587.0,-586.0,-5423.0,1.updown,5,CW
154,-1430.0,-1049.0,-1294.0,6226.0,-504.0,-4991.0,1.updown,5,CW
155,-1269.0,-602.0,-1111.0,6074.0,-407.0,-4301.0,1.updown,5,CW
156,-1053.0,-41.0,-955.0,6108.0,-287.0,-3409.0,1.updown,5,CW
157,-671.0,547.0,-717.0,6137.0,-230.0,-2557.0,1.updown,5,CW
158,-261.0,1221.0,-365.0,6011.0,-63.0,-1904.0,1.updown,5,CW
159,-156.0,1818.0,14.0,5650.0,144.0,-1614.0,1.updown,5,CW
160,-252.0,2182.0,355.0,5134.0,240.0,-1656.0,1.updown,5,CW
161,-352.0,2410.0,583.0,4539.0,160.0,-1747.0,1.updown,5,CW
162,-298.0,2647.0,637.0,3921.0,-24.0,-1736.0,1.updown,5,CW
163,-62.0,2868.0,597.0,3361.0,-35.0,-1580.0,1.updown,5,CW
164,232.0,3098.0,627.0,2827.0,207.0,-1353.0,1.updown,5,CW
165,471.0,3360.0,641.0,2270.0,537.0,-1144.0,1.updown,5,CW
166,550.0,3643.0,696.0,1731.0,788.0,-1006.0,1.updown,5,CW
167,481.0,4028.0,852.0,1118.0,944.0,-963.0,1.updown,5,CW
168,341.0,4441.0,990.0,321.0,1120.0,-838.0,1.updown,5,CW
169,227.0,4576.0,1087.0,-647.0,1317.0,-419.0,1.updown,5,CW
170,268.0,4493.0,1246.0,-1655.0,1437.0,485.0,1.updown,5,CW
171,372.0,4370.0,1383.0,-2738.0,1379.0,1516.0,1.updown,5,CW
172,594.0,3959.0,1207.0,-3681.0,1198.0,2213.0,1.updown,5,CW
173,733.0,3544.0,920.0,-4344.0,1033.0,2712.0,1.updown,5,CW
174,729.0,3337.0,694.0,-5004.0,980.0,3193.0,1.updown,5,CW
175,571.0,3361.0,554.0,-5892.0,1168.0,3511.0,1.updown,5,CW
176,162.0,3307.0,402.0,-6876.0,1259.0,3409.0,1.updown,5,CW
177,-298.0,3186.0,86.0,-7806.0,1198.0,3129.0,1.updown,5,CW
178,-851.0,2920.0,-444.0,-8820.0,1194.0,3052.0,1.updown,5,CW
179,-1433.0,2230.0,-1021.0,-9942.0,1036.0,3340.0,1.updown,5,CW
180,-2001.0,725.0,-1935.0,-10969.0,542.0,4002.0,1.updown,5,CW
181,-2218.0,-1433.0,-2949.0,-11430.0,-26.0,4914.0,1.updown,5,CW
182,-2091.0,-3845.0,-3950.0,-11444.0,-483.0,6169.0,1.updown,5,CW
183,-2205.0,-6532.0,-4946.0,-11207.0,-644.0,7226.0,1.updown,5,CW
184,-2605.0,-9257.0,-5448.0,-10556.0,-476.0,7169.0,1.updown,5,CW
185,-3185.0,-11611.0,-5525.0,-9327.0,58.0,5881.0,1.updown,5,CW
186,-3403.0,-13208.0,-5632.0,-7656.0,858.0,3904.0,1.updown,5,CW
187,-3641.0,-14421.0,-5512.0,-6031.0,1384.0,2453.0,1.updown,5,CW
188,-4221.0,-15882.0,-5339.0,-4640.0,1252.0,1835.0,1.updown,5,CW
189,-4414.0,-16757.0,-5076.0,-3227.0,719.0,1898.0,1.updown,5,CW
190,-4448.0,-16644.0,-4612.0,-2031.0,346.0,2128.0,1.updown,5,CW
191,-4440.0,-16292.0,-4142.0,-1133.0,79.0,1735.0,1.updown,5,CW
192,-4222.0,-15622.0,-3695.0,-138.0,-162.0,1035.0,1.updown,5,CW
193,-3709.0,-14396.0,-3357.0,1054.0,-408.0,453.0,1.updown,5,CW
194,-3089.0,-12923.0,-3023.0,2221.0,-582.0,-42.0,1.updown,5,CW
195,-2591.0,-11463.0,-2709.0,3203.0,-662.0,-705.0,1.updown,5,CW
196,-2333.0,-10046.0,-2584.0,4029.0,-778.0,-1700.0,1.updown,5,CW
197,-2327.0,-8957.0,-2703.0,4700.0,-965.0,-2741.0,1.updown,5,CW
198,-2491.0,-8322.0,-2937.0,5149.0,-1219.0,-3073.0,1.updown,5,CW
199,-2523.0,-7848.0,-3074.0,5502.0,-1467.0,-2664.0,1.updown,5,CW
200,-2257.0,-7069.0,-3052.0,5900.0,-1590.0,-2371.0,1.updown,5,CW
201,-2112.0,-6288.0,-2953.0,6279.0,-1482.0,-2857.0,1.updown,5,CW
202,-2279.0,-5776.0,-2941.0,6684.0,-1271.0,-3834.0,1.updown,5,CW
203,-2395.0,-5366.0,-3001.0,7089.0,-1192.0,-4482.0,1.updown,5,CW
204,-2207.0,-4802.0,-2983.0,7439.0,-1185.0,-4462.0,1.updown,5,CW
205,-1785.0,-3941.0,-2875.0,7713.0,-1152.0,-4126.0,1.updown,5,CW
206,-1504.0,-3101.0,-2745.0,7893.0,-1081.0,-3911.0,1.updown,5,CW
207,-1273.0,-2271.0,-2519.0,8066.0,-867.0,-3936.0,1.updown,5,CW
208,-999.0,-1231.0,-2171.0,8173.0,-449.0,-4078.0,1.updown,5,CW
209,-816.0,-241.0,-1665.0,8076.0,1.0,-4321.0,1.updown,5,CW
210,-728.0,556.0,-1214.0,7764.0,374.0,-4609.0,1.updown,5,CW
211,-652.0,1258.0,-874.0,7305.0,673.0,-4780.0,1.updown,5,CW
212,-535.0,1845.0,-507.0,6764.0,877.0,-4632.0,1.updown,5,CW
213,-459.0,2306.0,-71.0,6188.0,948.0,-4049.0,1.updown,5,CW
214,-363.0,2740.0,350.0,5596.0,843.0,-3177.0,1.updown,5,CW
215,-155.0,3212.0,778.0,4965.0,617.0,-2281.0,1.updown,5,CW
216,111.0,3671.0,1215.0,4267.0,251.0,-1464.0,1.updown,5,CW
217,295.0,4143.0,1515.0,3519.0,-213.0,-968.0,1.updown,5,CW
218,459.0,4591.0,1704.0,2702.0,-376.0,-874.0,1.updown,5,CW
219,504.0,4894.0,1880.0,1742.0,-132.0,-853.0,1.updown,5,CW
220,269.0,4872.0,1905.0,711.0,167.0,-775.0,1.updown,5,CW
221,127.0,4747.0,1969.0,-189.0,199.0,-413.0,1.updown,5,CW
222,308.0,4871.0,2027.0,-1069.0,-157.0,350.0,1.updown,5,CW
223,496.0,4910.0,1974.0,-2115.0,-478.0,1044.0,1.updown,5,CW
224,563.0,4677.0,1820.0,-3114.0,-532.0,1520.0,1.updown,5,CW
225,700.0,4352.0,1396.0,-3863.0,-573.0,1973.0,1.updown,5,CW
226,608.0,4080.0,1006.0,-4621.0,-403.0,2353.0,1.updown,5,CW
227,319.0,3824.0,778.0,-5523.0,-70.0,2743.0,1.updown,5,CW
228,262.0,3435.0,412.0,-6326.0,211.0,3062.0,1.updown,5,CW
229,173.0,2882.0,-5.0,-7036.0,529.0,3102.0,1.updown,5,CW
230,-44.0,2179.0,-519.0,-7690.0,834.0,3140.0,1.updown,5,CW
231,-427.0,1254.0,-1091.0,-8326.0,1051.0,3335.0,1.updown,5,CW
232,-957.0,206.0,-1654.0,-8923.0,1045.0,3787.0,1.updown,5,CW
233,-1495.0,-800.0,-2066.0,-9501.0,726.0,4445.0,1.updown,5,CW
234,-2080.0,-1963.0,-2442.0,-10085.0,319.0,5007.0,1.updown,5,CW
235,-2601.0,-3793.0,-3175.0,-10476.0,77.0,5015.0,1.updown,5,CW
236,-2792.0,-6183.0,-4145.0,-10269.0,96.0,4612.0,1.updown,5,CW
237,-2755.0,-8475.0,-4884.0,-9477.0,245.0,4166.0,1.updown,5,CW
238,-2826.0,-10278.0,-5227.0,-8491.0,330.0,3725.0,1.updown,5,CW
239,-2908.0,-11538.0,-5151.0,-7556.0,522.0,3298.0,1.updown,5,CW
